,Link,Good Characters,Bad Characters
1084,https://shanghai.anjuke.com/community/view/8,"
??
???????A/B/C/D????????A/D???597?5???B/C???434?4?????????
????????????????1:3??????????????????????
","
??
????????????
"
1085,https://shanghai.anjuke.com/community/view/8,"
??
????????????1:3???????????????????
????????500?????????????????1000?????????
","
??
?????????????
"
1086,https://shanghai.anjuke.com/community/view/8,"
??
???????ABCD??????A?D???597?5?????270????????B?C???434?4?
??????????4000?????????????????????????????????????????
????????????????????????????????????????200??????????? ?
","
??
??????180??????????????????????????50%?????????????????????????
"
1087,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????433??597?????????????????????
","
??
?????????????
"
1088,https://shanghai.anjuke.com/community/view/8,"
??
?????????????2007???6???????220???????????????400???????
????????????????????????????????????16????????12.7??
??????????2009??????????A,C???B,D?????????????????????
?????????????????????????100?????????1????????????????
??????????1000????????2????????????
","
??
???????????????????????????????????????
"
1089,https://shanghai.anjuke.com/community/view/8,"
??
????????290???????????????380??????IFC??
????????700????????????932??1200???????????9???
","
??
????????????/?????????????
"
1090,https://shanghai.anjuke.com/community/view/8,"
??
????????4????????????400?????????????
????????2006??????????????????????????????????????
?????????2??????900????????????????????
","
??
???????????????????????????????????
"
1091,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????????434~598??????
???????????1?3???????????????????
","
??
??????????????????????????
"
1092,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD4?????????434-598??A?D??????????????
??????????????????1?3??????????SPA??????????????????????
???????????????????????????????????????????????????
??????500???????????????????????2/4/9????????
??????500???9???????1000???2?????????????
","
??
???????????
"
1093,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD4??B??C??3???????????431??A??D?????????597?
????????????????????1:3???????????????SPA?????????????
????????????? ????????200?? ????????150? ???????
?????????2??????520?????????????(791?961?????????)100??
","
??
?????????????????????????????
"
1094,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD??????AD?????597????BC????434?4?
????????4000????????????????????????????????????????????
????????500????????????????????????????
?????????2??????450???????798??795??
???????????????????????
","
??
?????????????????
"
1095,https://shanghai.anjuke.com/community/view/8,"
??
??????????A?B?C?D????????A?D?????597??????????
????????4000????????????????????????????????????????
????????200?????????????1000????????
??????500???9??[????]1000???2??[????]
","
??
??????????
"
1096,https://shanghai.anjuke.com/community/view/8,"
??
??????????6?????????????????????434? 4?2?3? ????????
??????????????????????? SPA?????? ??????????
?????????2006???????????????2009??? ??????????????
???????????????15???????24H?????????????????????
","
??
????????????
"
1097,https://shanghai.anjuke.com/community/view/8,"
??
????????200?????????????? ???????1000???*?
???????????2??????300??798??????????795?????????????????
??????????????????????????????9?1?????35-60???
","
??
?????????????
"
1098,https://shanghai.anjuke.com/community/view/8,"
??
??????????434-767?????5+1?????876-986??????????????????
??????????1:3?????????????????????????SPA?
??????2006?????????????????????????????
","
??
?????????????
"
1099,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????????45????434-598?????????????
??????????4000????? ??????????????????????
????????????? ????????200?? ????????150????????????
","
??
???? ???????
"
1100,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????????????597????434????????876-986??
???????????1:3???????????????????SPA??????????????
?????????????????????????????????????????153??
","
??
?????????????????34??
"
1101,https://shanghai.anjuke.com/community/view/8,"
??
???????????434???597????????????576-986??????????
???????????1?3????????????????spa?????????????
???????????????????????????????153??
???????????780??????550??????330??????410??
","
??
??????????????????????????????????????????????????????????????????
"
1102,https://shanghai.anjuke.com/community/view/8,"
??
???????????????? ??????434.597????? ?????50? ??????
??????????8:2 ?????????? ?????? ??????? ????????
","
??
?????? ?????? 7000??
"
1103,https://shanghai.anjuke.com/community/view/8,"
??
???????A/B/C/D4????????AD??579??????BC??430?????????????
??????????1.5????????????????????????????????????????1:3
????????????????4????????1????????2007??????????????????
????????????????200??????1000???????????????
??????????????????1000???500????????????
","
??
?????????????
"
1104,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD4??B??C??3????431??????A??D???????597?????
????????????????????????????????????????????????????????
???????????????????????????ALT??????12?????????????????
??????2????????????????60??????????????????4????6???????
???????????????????????80%?????500??????????????40-60???
","
??
????1:1.9?????????????????
"
1105,https://shanghai.anjuke.com/community/view/8,"
??
?????????4??????434?-767??3?1???????????
????????200?????????????????????500???????????????????
","
??
??????????????
"
1106,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A?D??????597???????BC??431?????
??????????????????????????????!
","
??
?????????????
"
1107,https://shanghai.anjuke.com/community/view/8,"
??
??????????434??597???????876—986???270?????
???????????????????????????????3:1
?????????????????????500??????????40—60???????
?????????????????24h??????
","
??
???????????????????
"
1108,https://shanghai.anjuke.com/community/view/8,"
??
??????????????AD?597?????1200???????BC?433?????768????
????????????1:1.9 ?????????????3000?????????????????????
??????300??????50??????40??????70????????800??????????
","
??
????20?????????
"
1109,https://shanghai.anjuke.com/community/view/8,"
??
??????????4???????434??597??????767?-1000??5?????
??????????4000??????????????????????????????
?????????300??????320???????10???????40?????????70??????
","
??
??????????????????
"
1110,https://shanghai.anjuke.com/community/view/8,"
??
???????A?B?C?D???????AD???597??????BC???434????????????
????????200???????????? 1000????????
????????500???9???????????1000???2????????
","
??
??????????
"
1111,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD?????45??????433?-597?????????????????1?2
????????4000????????????????????????????????????????
???????????????????????????????????????????.???????
???????????????????????????????????????????
???????????????????????????????????35--65???
","
??
????????????
"
1112,https://shanghai.anjuke.com/community/view/8,"
??
???????4?ABCD??????????????????????431?-750??????????
????????????????????????????????????????...????????????
??????05???07????????????????????????????????????
???????????????9?????????2?????????500??????????????
","
??
1.?????????????
2.????????????
"
1113,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD4??B??C??3???????????431??A??D?????????597?
????????????????????????????????????????????????????????
????????????????????????????????????????????????????????
????????2?????????500??????4????????6??????????9???????
????????A?360???????597??????1208??200??????????????7.4?
","
??
?????180?????5?????5??????????????4???????????????431?????8200??????????????????????
"
1114,https://shanghai.anjuke.com/community/view/8,"
??
??????A??????597??C????????435??
?????????????????????
?????????????:1:1.95???429??
?????????????????????????
???????????????????????????????15?/?/??
24h????????
","
??
?1????????????????
?2??????????????????
?3?????????????????????????????
"
1115,https://shanghai.anjuke.com/community/view/8,"
??
???????4??A?C???BD????BC?????431?AD??597??40??????767???
?????????50?????300??????1????????????
","
??
?????20?????????????????
"
1116,https://shanghai.anjuke.com/community/view/8,"
??
??????????????597????434????767?1000?????????????100??
????????????????04????09??????????????????????
??????????????????????????2??????300?????????????????
","
??
?????????????????34??????????2.05????????
"
1117,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD????AD?597??BC?434???????????????*2
??????2005????2009????????????????????
????????2??????????????????????500??9????????
","
??
?????????????
"
1118,https://shanghai.anjuke.com/community/view/8,"
??
??????A-D?597?,B-C?434??764?-1202?????????????????????
??????????3000??????????????????????????????????????????
??????????600????2???????????2???????????3???????
???????????78%??????CEO?????????37-55??????????????????
","
??
?????????????????????????????????
"
1119,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD????AD??597??4??????BC??434??3????????????
??????????4000???????????????????????????1:1.5?
","
??
?????????????????????????8????????8500?+
"
1120,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????45???????433??4??597??5?????????????????
????????4000??????????????????????????
???????2??????300??2???????
","
??
??????????????
"
1121,https://shanghai.anjuke.com/community/view/8,"
??
??????A??D????????????598??????B??C??????????433?????43?
??????????????????????????????????????????
???????2???????800??4???????1???????2???????3???????
","
??
?????????????
"
1122,https://shanghai.anjuke.com/community/view/8,"
??
????????4?????597???435???????????????????
??????2005????2009????????????????????????????????
","
??
???????????????????????20??
"
1123,https://shanghai.anjuke.com/community/view/8,"
??
??????????ABCD????AD??597??4??????BC??434??3????????????
??????????4000???????????????????????????1:1.5?
","
??
?????????????????????????8????????8500?+
"
1124,https://shanghai.anjuke.com/community/view/8,"
??
???????2?40?+2?44???????????A-D???597??????B-C??434?????
??????????200?????????????????????50?????????????????
??????????2????????????????????????????????????????????
","
??
?????????????????????????????????
"
1125,https://shanghai.anjuke.com/community/view/8,"
??
?????????A.B.C.D????????A?D??597??????????B?C??431?????
????????????4000????????????????????????????????????
???????????50??????????????300??????1????????????
???????2???????300??4???????1???????2???????3??????
??????????????????????15?/?/???????1:2
","
??
??????????????????????????
"
1126,https://shanghai.anjuke.com/community/view/8,"
??
??????????????435??596????????????????
??????????????????500???????????
","
??
?????20???????7000???????????????
"
1127,https://shanghai.anjuke.com/community/view/8,"
??
??????????434??597??????767?-1000??5?????
","
??
?????18-30?????????
"
1128,https://shanghai.anjuke.com/community/view/8,"
??
???????????????45????A?D????597?????????B?C??433??
??????4000?????????????????????????????
??????2006???????????2007????
","
??
??????????????
"
1129,https://shanghai.anjuke.com/community/view/8,"
??
?????????????ABCD?????435~650???????????????1????1300?
?????????????????,????ALT??????11???????????????????????
?????????????????????????????????30~50??
","
??
??????????????21????
"
1130,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD4??B??C??3???????????431??A??D?????????597?
????????????????????????????????????????????????????????
??????????????????ALT??????12???????????????????????????
????????2?????????500??????4????????6??????????9????????
????????A?360???????597??????1208??200??????????????7.4?
","
??
?????180?????5?????5??????????????4???????????????431?????8200??????????????????????
"
1131,https://shanghai.anjuke.com/community/view/8,"
??
???????4??????????45??????597???????????434????????1200?
????????2006?????????????????????????????
","
??
??????????
"
1132,https://shanghai.anjuke.com/community/view/8,"
??
???????????4??????594????
?????????????2007???
?????????????????????150????????????
????????????????????ceo????45-60
","
??
????????20???
"
1133,https://shanghai.anjuke.com/community/view/8,"
??
??????ABCD??????AD????597????20??????BC????433????17????
???????????????????????????????????????????????1:1.9?
????????????????????????600??????????????????????????
","
??
??????????????????4??5??????
"
1134,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????300???????????
????????????2??????400???????????????????????????????
","
??
???????????????
"
1135,https://shanghai.anjuke.com/community/view/8,"
??
????????A/D???597?????>20??B/C ???431?????>15?????200???
??????4000??????????1:1.9???????????????????
","
??
?????????????????????????
"
1136,https://shanghai.anjuke.com/community/view/8,"
??
???????????????????????300??????????????
?????????????????????????????????????
","
??
?????????????????
"
1137,https://shanghai.anjuke.com/community/view/8,"
??
??????ABCD?????AD??597????>20??BC??431????>15?.???200???
????????4000??????????????????1?1.9???????????????????
???????????????320??????10??????40??????150?????1000????
????????????500???????????????????300????81??798????????
????????????????????????????????????????????
","
??
????????????????
"
1138,https://shanghai.anjuke.com/community/view/8,"
??
???????????2005????2009????????????????????
???????????????????150??????????????????????????200???
??????????????????????????????????15?/?/???????
","
??
????????????????
"
1139,https://shanghai.anjuke.com/community/view/8,"
??
???????????435?/597??????605?/1240???????????? ?????
????????2?????????300??795/798??????????????????????
???????????????????????????????????????????????????????
","
??
??????????
??1?1.9 ?????
"
1140,https://shanghai.anjuke.com/community/view/8,"
??
???????????A B C D????? ??A D???????597? ??B C?????431?
????????????? ????????200?? ????????150? ???????
","
??
???? ???????
"
1141,https://shanghai.anjuke.com/community/view/8,"
??
?????????????435-597????605-1240????????????????????????
???????2?????????300???????798/795??????????????????????
???????????????????????????????????????????????????????
","
??
??????????????
"
1142,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????434??~1026?????????????????????????
???????????????500?????800???? ?????????
","
??
???????????? ??8000???
"
1143,https://shanghai.anjuke.com/community/view/8,"
??
?????????5?????44????????200??????
??185-1206??2??8?????
???????????320?????????10???????40?????????70???????
??????????????????15???????????????????????????????????
","
??
??????????????????????????????????
"
1144,https://shanghai.anjuke.com/community/view/8,"
??
?????????4??????????ABCD 4?????????437-597?2????????????
??????????200?????????????????????????
????????????
","
??
???????????6000??????????????????
????????????????????????????????????
"
1145,https://shanghai.anjuke.com/community/view/8,"
??
??????????????2007??? ??????
????????????????300?
??????????????2??500?
????????????? ??????????
?????????????? ?40???
","
??
???????????
"
1146,https://shanghai.anjuke.com/community/view/8,"
??
????????A,D???????595????B,C???????434?????????876-986??
????????????????0.5????????????1.5???
??????2??????500???????????????????300??
","
??
??????????????.
"
1147,https://shanghai.anjuke.com/community/view/8,"
??
????????435?597???????605-1240?????????
????????????????????????600??????????
","
??
????????????
"
1148,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????????15?/?/??????????
","
??
?????40%???????
"
1149,https://shanghai.anjuke.com/community/view/8,"
??
?????????430-570?4??767??????????4?????????????
????????100-200???????????????500?????????????????
","
??
??????????????????????????
"
1150,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????434??597????????6????????????????
?????????????????500????????500??????????????
????????2??????500??9??1500?????????????????
","
??
????????????
"
1151,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????40????44?????????4?-437-597??767?-983?
??????????400????????????????????????????????1?3?429????
???????????500?????2?????????14?????
","
??
???????????
"
1152,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????4????1????????430?—600???
??605?—1204?
????????????????361??????492???????????481?,????????382?
?????????????350??81????????798????????????????????????
????????????????????????????
","
??
????,?????,?????25?/??,
"
1153,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????????435??597???????????
??????????1????????2000?/???????????????????
","
??
????????7000?
"
1154,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????767???????????????
????????????????????500????????2??????????????????????
","
??
??????????????????
"
1155,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????433-983?????????????????
????????????????????????????????????????
??????500????2????????????5???
","
??
????????????????????
"
1156,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????767??????5????597???????????434????????
?????????429??400??????????????????????????
???????????????400???????
????????2????????????450??????
","
??
????????????????????????
"
1157,https://shanghai.anjuke.com/community/view/8,"
??
?????????40????44???????????????????5??????????????4???
????????????????Hayward?????SPA?????????????????????????
????????????????????????????????????????????????????????
?????????????433?????????524??????????????????
????????????????????????????????????????????????????????
","
??
???????????????????????????
"
1158,https://shanghai.anjuke.com/community/view/8,"
??
???????????40????44???????????????????434?1240?????220??
????????4000??????????????????????SPA?????????
???????????????????????????????????? “?12???”???????????
????????????????????????????????????????????????????????
","
??
??????????????????????????
"
1159,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?45?????????????433?? ?597???767???824????????
????????2007????433?597???????????????????????????????
","
??
????????5.97????????19???
"
1160,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????767?????434?????597??????????????
??????????????????????????????????????1?1.9
???????????????????????500???????1.2???????????
????????????300?2?????????14??????? ????????????????????
??????????????15?????si???????????
","
??
???????????????????
"
1161,https://shanghai.anjuke.com/community/view/8,"
??
????????430-597????767-983???????????
??????????????????????????????35%??????
","
??
????????????????
"
1162,https://shanghai.anjuke.com/community/view/8,"
??
?????????? ?????? ?????430??????590????? ??760?????
??????????4000??????? ?????? ????????spa???????????????
??????????????????????????????????????????????? ???????
??????????? ????0.5?? ???1.5?? ?????? ??????????1??
???????2????????400? ???????? 791 961? ??14??????
","
??
???? ???? ??????? ???????? ????????? ????? ?????? ?????
"
1163,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????434?????597???????767??????,?????
??????????4000?????????????????1?1.9?????
??????2??????500????9??1000???
","
??
??????????
"
1164,https://shanghai.anjuke.com/community/view/8,"
??
???????????433-597?????767-983?????????????????????
???????????????????4000?????????????????????????????????
?????????????????????????????
","
??
????????????????????18-35?/???????????
"
1165,https://shanghai.anjuke.com/community/view/8,"
??
????????433????597????767?983???????????????????????????
????????????4000????????????????????????????????????????
???????????????????????????????????????????????????????
????????2??????450??????1500?????????
","
??
????????????????????????????????????????
"
1166,https://shanghai.anjuke.com/community/view/8,"
??
???????????434????579?5????????????????????????????????
??????4000????????????????????????????1?2.?429??
??????????????500??????????????????35-50???????10%?
","
??
???????????????????????????
"
1167,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????431?579????????????????????????????????
??????????1:2???4000????????????????SPA?????????????????
???????????????????1.5?/????????????????????????????
???????2????????450????85??774??779????????????
????????????????????????15?/?/????????
","
??
?????????????????????????????????
"
1168,https://shanghai.anjuke.com/community/view/8,"
??
?????????? ???400-600????? ?????? ???????
????????????????????????? ??????
????????2???????300? ?????
","
??
??????? ???? ????????
"
1169,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????????9?1?????35-60???
??????????????15?????si???????????
","
??
????????????
"
1170,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????434-767?????,??????????????
??????????1?3?????????????????????????
????????????????????????????????
???????????????2??????100???????????
??????????????????????????BD????????????????40-60?????
","
??
1???????????
2??????
"
1171,https://shanghai.anjuke.com/community/view/8,"
??
????????3?1?????????434?4??597?5???????????????????????
???????????????????????????????????????2010?????????????
????????????????200????????IFC??????????????????????
?????????CBD?????????500????????40-50??????????????
","
??
???????????CBD ?????
"
1172,https://shanghai.anjuke.com/community/view/8,"
??
????????431?4??579?5????732?6???????????????????????
????????4000???????????????????????spa????????????????
??????????????????????????????????????????????????
??????????2????????400?????????????
","
??
?????????????????????????????????????
"
1173,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A?D????????598????????B?C????????433??
??????4000???????????????????????????????
?????????????2???????450???????1?????????????????
????????????????????15????????????????????
","
??
????????????????????????????
"
1174,https://shanghai.anjuke.com/community/view/8,"
??
?????????????431?4??579?5??????????????????
??????????4???????????????SPA????????????????
?????????2????????500???9???????1????????????
","
??
???????????????????????????????
"
1175,https://shanghai.anjuke.com/community/view/8,"
??
??????ABCD??C??434??A???????360????????? ???????? BD??
????????????300?2?????????14????? ??455?????????200?????
","
??
???????????????
"
1176,https://shanghai.anjuke.com/community/view/8,"
??
????????????4??5???431??579????????????????????????????
??????????4000???????????????????????????????
????????????????????????????????????????????????
?????????????2???????450??????????????????
","
??
??????????????????????????????????????????????
"
1177,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD????????AD??597????????BC????435???
??????????429????4000????????????????????????
??????????????????????????????????????.???????
?????????????????????????0.5?????800???????????
","
??
?????????????????????????????
"
1178,https://shanghai.anjuke.com/community/view/8,"
??
?????????????434-597?????2????2???????????????
???????????????????????????????????????????
????????2??1000?????9??1500??
","
??
?????????????????????????
"
1179,https://shanghai.anjuke.com/community/view/8,"
??
????????3?1????430-580??4-5??4???1????????????????????
??????4000?????????????????????????????????????
??????????????????????????????????????
??????????2????????450??????????????
","
??
????????????????????????????????
"
1180,https://shanghai.anjuke.com/community/view/8,"
??
??????B/C?433?4??A/D?597?5??40???767?983??????????A/D???
?????????????4000?????????????????????????
??????????????????????????????????????
?????????????????200???????????????800????????????
","
??
????????????????????????
"
1181,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??6??????40????44????????
?????434?597???????
????????????????????????????????????????????????????????
??????????????????200??????????????????????????????????
","
??
08?????????????????????
"
1182,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
????????????780??????????550????????330????????410??????
???????2??????520?????????????(791?961?????????)100?????
","
??
????????????
"
1183,https://shanghai.anjuke.com/community/view/8,"
??
????????431?4??579?5????732?6???????????????????????
??????????????????????????????????SPA????????????
?????????????????2????????1500???9????????1000????????
","
??
????????????????????????????????????
"
1184,https://shanghai.anjuke.com/community/view/8,"
??
??????B/C?433?4??A/D?597?5??40???767?983??????????A/D???
??????????4000????????????????????24h??????????????
???????????????????????????????????????.????????
?????????????????200???????????????800????????????
?????????????500????????????A/C?????80%?B/D??????????
","
??
5??????????????????????????????????????????????????
"
1185,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????431-579?4-5??4???1?????????????
????????2????????500??????????.
??????????????????????500???????????????40???????80%
","
??
???????????????
"
1186,https://shanghai.anjuke.com/community/view/8,"
??
????????4?? 3??? ????434-598? ????
????????????1:3???? ??????????????
??????500???????????????????????????
","
??
??????????????????????????????????
"
1187,https://shanghai.anjuke.com/community/view/8,"
??
?????????????434-767??????4+1???????5+1????????270?????
??????????1??????????????3?1
?????????????????????50??????????????50??????????
????????2??????????????60??????????
??????????????????????500??????????????40???????80%
","
??
????????????????????????????
"
1188,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????431-579?4~5?????????????????????
???????????????????1:3???????????????????
??????????????????????????
??????1000?????????????????????????????????????
?????????2??????450???????????????????
","
??
???????????????????????????????
"
1189,https://shanghai.anjuke.com/community/view/8,"
??
?????????????434-767??????4+1????????270??????
????????????????????????3:1??????
?????????????????????500???????????????????????????
","
??
?????????????????????????
"
1190,https://shanghai.anjuke.com/community/view/8,"
??
?????????????????????????
???????????????????????
??????????????????????????3-1
","
??
????????????
"
1191,https://shanghai.anjuke.com/community/view/8,"
??
????????3?1??????431???-579????4-5??4?????????????
???????????????????????????????????????
??????????2????????1500??9??????1000????2???????????????
","
??
??????????6000????????????????????????????
"
1192,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
???????????780??????????550????????330????????410??
?????????2??????520?????????????(791?961?????????)100??
","
??
????????????????????????????????????????????
???????????????????????????????????????????
"
1193,https://shanghai.anjuke.com/community/view/8,"
??
????????3?1????434-597??2????2?????????????????
?????????????????????????
????????????????????????????????????????????
?????????????????????????????????????????1000??
????????2??1500????9??1000?
","
??
??????????????????????????
"
1194,https://shanghai.anjuke.com/community/view/8,"
??
????????3?1?,????431-579?4-5??4??1????????????
???????????4000???????????????????????????
????????????????????????????????????????
?????????????????????+???????????????????????1000?
?????????2????????1500??9????????1000??
","
??
??????????????????????????????
"
1195,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????????????????????????????????????????
????????500???????? ???????? ????? ????? ????? ???????
??????????????????????????????9?1?????35-60???
","
??
??????????????????????????????
"
1196,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??AD????????597?5?,BC??434?4??3????????270???
??????????4000?????????????????????????1:3????????????
??????500????????????????????????????????????
","
??
?????????????????????????????????????
"
1197,https://shanghai.anjuke.com/community/view/8,"
??
??????????1:1.9?????????????3000??????????????????????
??????????300??????50??40????????????70???????????800???
","
??
????????21?????????
"
1198,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????45???????????????????????433??4??597??5?
??????????429???????:1:1.95? ?????????????????????????
????????????????????????.??????????????????????
??????????600????2???????????3???????????2???????
?????????????????????????????15?/?/?? 24h????????
","
??
?????????????????????????????
"
1199,https://shanghai.anjuke.com/community/view/8,"
??
???????????430-597?????????797-1204??????????????AB?????
???????????20??????????300??????????50?????????300?
?????????????????????200?????????80???????????
","
??
??????????434??????25???????????????????
"
1200,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
1201,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
1202,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
1203,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
1204,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
1205,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
1206,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
1207,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
1208,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
1209,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
1210,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????2006????????????????2???
??????????2KM???????????????????????????????????????????
?????????2????????600???9????????960??
???????????????????????9????????????????????
","
??
????????????????????????????????????????????
"
1211,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????434??????597????????????????
????????????????2008??????????????????????
","
??
??????????????????
"
1212,https://shanghai.anjuke.com/community/view/8,"
??
???????????ABCD4?????????434-767??????????????????
????????????????????1:3????????????????????????????????
???????????????????????153??????????
????????200?????????????1000???????????2?????????500????
","
??
??????????8200??????????????????????
"
1213,https://shanghai.anjuke.com/community/view/8,"
??
??????434/597???????????????5????220????????????????????
?????????????????????????500?????,????,10?????????
","
??
??????????????
"
1214,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????A?D??B?C???????????4-5??
???????????????????????3:1?
??????????????????????200?????????150????
","
??
????????????
"
1215,https://shanghai.anjuke.com/community/view/8,"
??
????????????????40????????????431?????597??????????????
?????????300????2????????????????300???????????????
","
??
??????????????????
"
1216,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?45??49?3????????????????433-597??????????
????????????1?3???4000??????????????????????????????
????????2007???2008???????????????????????????153???????
????????????????????200?????????150???????780??????650??
?????????2??????520????500????9??????????????????
","
??
????????????????????????
"
1217,https://shanghai.anjuke.com/community/view/8,"
??
??????????AbCd??????AD?????597????B?C???434????
????????4000????? ?????????????????????????
","
??
??????????????
"
1218,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????ABCD??????????434-767????????270???????
????????500?????2????????780??????????550???????????????
?????????????????????????????????????40?????????
","
??
???????????????????
"
1219,https://shanghai.anjuke.com/community/view/8,"
??
??????4???AD??????597??BC??????434??????????????????????
??????2005????2009???????11?/???????2?/????????????????
???????????????30%?????????? ???????????????CEO?????????
???????????????????????????15?/?/???????????????????????
","
??
????????????????????????
"
1220,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?????180????A,D??597??????B,C??431???
????????????1:3????????????????????????
??????????500???????2????????????????????????????
","
??
?????????????
"
1221,https://shanghai.anjuke.com/community/view/8,"
??
?????????????220????A?D?597??B?C?433??B?C???????????80??
????????????29??????429??????1:2????????????????????????
??????2007??????????????????????????????????????????????
??????100?????????????????????????????????50????????????
?????????????????????????????????????150????????2?????
","
??
????????????????????????????
"
1222,https://shanghai.anjuke.com/community/view/8,"
??
???????????433?597?????45-49??????????????
???????????????????????????????????????
?????????????????????????????100??????2??????200????
","
??
??????????????
"
1223,https://shanghai.anjuke.com/community/view/8,"
??
?????????????431?4??579?5?,??????????,?????
??????????4????,??????????SPA???????????????
?????????2??(????)500?,9??(???)1??;????,????
","
??
??????,???,?????????,?????????
"
1224,https://shanghai.anjuke.com/community/view/8,"
??
?????????ABCD??????AD?????BC????????597????433??BD??????
??????????400???????????????????1?3?????
???????????????2007????????????????????????????
","
??
??????433???????????
"
1225,https://shanghai.anjuke.com/community/view/8,"
??
????????????434??597??????????876-986??????????????????
????????????????????1:3???????????????SPA?????????????
?????????????????????4???????????1???????????153??
???????????780??????????550????????330????????410??
?????????2??????520?????????????(791?961?????????)100?
","
??
????????????????????????????????????????????????????????????????????????????????????????
"
1226,https://shanghai.anjuke.com/community/view/8,"
??
??????????????A??D??????????B??C????????????4-5?
??????????????????2007????2008???
?????????????????????????
","
??
??????????430??????????????
"
